chr	snpid	pos	gpos	p1	ihh1	p2	ihh2	xpehh	normxpehh	crit
1	scaffold1_569099	569099	569099	0.275	55123	0.275	30210.2	0.601389	0.85346	0
1	scaffold1_616187	616187	616187	0	83145.3	0.2	45135.7	0.610915	0.875747	0
1	scaffold1_616414	616414	616414	0.025	80643.4	0.125	49827.8	0.481464	0.572885	0
1	scaffold1_630353	630353	630353	0	81495.3	0.125	52077.5	0.447812	0.494153	0
1	scaffold1_630422	630422	630422	0	82149.4	0.1	58179.2	0.345012	0.253643	0
1	scaffold1_656798	656798	656798	0.025	81296.2	0.075	59049.7	0.31972	0.194471	0
1	scaffold1_657103	657103	657103	0.05	78561.6	0.2	54693.5	0.362139	0.293713	0
1	scaffold1_667136	667136	667136	0.45	45923.8	0	63173.9	-0.318907	-1.29965	0
1	scaffold1_667447	667447	667447	0.05	47772.5	0.05	59078.4	-0.212415	-1.05051	0
1	scaffold1_713886	713886	713886	0.45	45424.9	0.1	57953.3	-0.243577	-1.12341	0
1	scaffold1_713961	713961	713961	0.45	45424.9	0.1	57953.3	-0.243577	-1.12341	0
1	scaffold1_713974	713974	713974	0.425	43685.7	0	59598.8	-0.310615	-1.28025	0
1	scaffold1_719541	719541	719541	0.475	43687.3	0.4	42091.8	0.0372043	-0.4665	0
1	scaffold1_719587	719587	719587	0.25	37563.2	0	44748.9	-0.175042	-0.963068	0
1	scaffold1_722964	722964	722964	0	41647	0.125	43018.1	-0.0323933	-0.629329	0
1	scaffold1_722985	722985	722985	0	41647	0.125	43018.1	-0.0323933	-0.629329	0
1	scaffold1_722996	722996	722996	0.35	37163.9	0.15	43174.5	-0.14991	-0.90427	0
1	scaffold1_736306	736306	736306	0	42146.1	0.1	44248.7	-0.0486848	-0.667445	0
1	scaffold1_736586	736586	736586	0.575	30431.3	0.4	37694	-0.21403	-1.05428	0
1	scaffold1_736633	736633	736633	0.575	20433.3	0.35	37024.4	-0.594409	-1.94421	0
1	scaffold1_736635	736635	736635	0	21314.2	0.1	37408.5	-0.562523	-1.86961	0
1	scaffold1_736658	736658	736658	0.5	19317.4	0.3	38200.3	-0.681835	-2.14875	1
1	scaffold1_736662	736662	736662	0.15	17039.8	0.1	38055.4	-0.803489	-2.43337	1
1	scaffold1_736684	736684	736684	0.6	17041.5	0.375	38058.6	-0.803477	-2.43335	1
1	scaffold1_736688	736688	736688	0.5	16582.2	0.3	38085.4	-0.831502	-2.49891	1
1	scaffold1_736693	736693	736693	0.5	15785.8	0.3	37832.6	-0.874062	-2.59849	1
1	scaffold1_736697	736697	736697	0.5	15785.8	0.3	37832.6	-0.874062	-2.59849	1
1	scaffold1_736744	736744	736744	0.5	15818.2	0.3	37840.3	-0.87221	-2.59415	1
1	scaffold1_736897	736897	736897	0.5	15818.2	0.3	37840.3	-0.87221	-2.59415	1
1	scaffold1_736901	736901	736901	0.075	14086.6	0.1	31033.3	-0.789837	-2.40143	1
1	scaffold1_736906	736906	736906	0.125	16408.9	0.05	36477.4	-0.798871	-2.42257	1
1	scaffold1_736916	736916	736916	0.5	17095.8	0.3	36520	-0.759028	-2.32935	1
1	scaffold1_736924	736924	736924	0.6	19675.4	0.475	32802.8	-0.511143	-1.74941	0
1	scaffold1_736939	736939	736939	0.6	29861.2	0.4	35821.9	-0.182	-0.979347	0
1	scaffold1_736943	736943	736943	0.1	55947.5	0.05	54199.6	0.0317408	-0.479282	0
1	scaffold1_736955	736955	736955	0.15	58707.5	0.05	54199.6	0.0798933	-0.366625	0
1	scaffold1_810332	810332	810332	0	75441.9	0.1	54480.9	0.325512	0.208021	0
1	scaffold1_849820	849820	849820	0.025	72594.4	0.3	43303	0.516666	0.655243	0
1	scaffold1_849877	849877	849877	0.025	72594.4	0.3	43303	0.516666	0.655243	0
1	scaffold1_849889	849889	849889	0.025	72594.4	0.275	42817.2	0.527947	0.681636	0
1	scaffold1_850024	850024	850024	0.025	72594.4	0.3	42969.5	0.524396	0.673328	0
1	scaffold1_907090	907090	907090	0.275	52360.1	0.475	26868.3	0.667199	1.00743	0
1	scaffold1_907133	907133	907133	0.275	52360.1	0.475	26868.3	0.667199	1.00743	0
1	scaffold1_907294	907294	907294	0.275	52154.9	0.35	24288.8	0.764203	1.23438	0
1	scaffold1_907297	907297	907297	0.075	55705.5	0.375	23981.9	0.842778	1.41821	0
1	scaffold1_907345	907345	907345	0.65	48337.3	0.25	28890.6	0.514688	0.650615	0
1	scaffold1_950996	950996	950996	0	71479.3	0.475	30490.5	0.851994	1.43977	0
1	scaffold1_975760	975760	975760	0.275	56069.5	0.3	28512.6	0.676244	1.02859	0
1	scaffold1_975958	975958	975958	0.025	55620.4	0.15	27779.8	0.694243	1.0707	0
1	scaffold1_975967	975967	975967	0.175	54520.8	0.1	30416.1	0.58361	0.811864	0
1	scaffold1_976027	976027	976027	0.65	50318.8	0.2	26842.9	0.628378	0.916603	0
1	scaffold1_980968	980968	980968	0.8	54829.9	0.25	27979.4	0.672766	1.02045	0
1	scaffold1_981157	981157	981157	0.8	54829.9	0.25	27979.4	0.672766	1.02045	0
1	scaffold1_981201	981201	981201	0.8	54829.9	0.25	27979.4	0.672766	1.02045	0
1	scaffold1_981206	981206	981206	0.075	61985.6	0.125	33483.7	0.615842	0.887274	0
1	scaffold1_1005548	1005548	1.00555e+06	0.125	59250	0.4	30676.5	0.658269	0.986535	0
1	scaffold1_1005550	1005550	1.00555e+06	0.15	50494.7	0.05	29550.3	0.535776	0.699952	0
1	scaffold1_1005574	1005574	1.00557e+06	0.125	43578.6	0.05	27988.1	0.442787	0.482396	0
1	scaffold1_1005587	1005587	1.00559e+06	0.125	43578.6	0.05	27988.1	0.442787	0.482396	0
1	scaffold1_1005593	1005593	1.00559e+06	0.125	43578.6	0.05	27988.1	0.442787	0.482396	0
1	scaffold1_1005607	1005607	1.00561e+06	0.125	43578.6	0.05	27988.1	0.442787	0.482396	0
1	scaffold1_1005619	1005619	1.00562e+06	0.125	43578.6	0.05	27988.1	0.442787	0.482396	0
1	scaffold1_1005755	1005755	1.00576e+06	0.125	43578.6	0.05	27988.1	0.442787	0.482396	0
1	scaffold1_1005763	1005763	1.00576e+06	0.25	43539.6	0.475	27608.7	0.45554	0.512233	0
1	scaffold1_1005808	1005808	1.00581e+06	0.125	50104.4	0.4	29322.2	0.535765	0.699927	0
1	scaffold1_1041680	1041680	1.04168e+06	0.05	52843.4	0.2	32469.3	0.487037	0.585923	0
1	scaffold1_1041683	1041683	1.04168e+06	0.05	52843.4	0.2	32469.3	0.487037	0.585923	0
1	scaffold1_1047097	1047097	1.0471e+06	0.025	54227.8	0.2	32362.1	0.516205	0.654164	0
1	scaffold1_1047102	1047102	1.0471e+06	0.025	54227.8	0.25	29706.1	0.601842	0.85452	0
1	scaffold1_1047160	1047160	1.04716e+06	0.025	54227.8	0.25	29706.1	0.601842	0.85452	0
1	scaffold1_1047176	1047176	1.04718e+06	0.025	54227.8	0.25	29706.1	0.601842	0.85452	0
1	scaffold1_1047186	1047186	1.04719e+06	0.025	54227.8	0.2	29716.6	0.601487	0.853689	0
1	scaffold1_1047305	1047305	1.0473e+06	0.025	53270.2	0.075	26784.8	0.687542	1.05502	0
1	scaffold1_1047351	1047351	1.04735e+06	0.25	41692.4	0.05	25213	0.50296	0.623176	0
1	scaffold1_1047353	1047353	1.04735e+06	0.025	42019.1	0.25	25273.6	0.508366	0.635824	0
1	scaffold1_1047358	1047358	1.04736e+06	0.275	41157.6	0.075	24063.1	0.536727	0.702177	0
1	scaffold1_1047377	1047377	1.04738e+06	0.025	53925.8	0.25	26452	0.712276	1.11289	0
1	scaffold1_1060783	1060783	1.06078e+06	0.025	55060.5	0.1	31834.9	0.547871	0.72825	0
1	scaffold1_1061006	1061006	1.06101e+06	0.025	54864.2	0.475	25223.8	0.777075	1.26449	0
1	scaffold1_1093178	1093178	1.09318e+06	0.225	40147.7	0.05	31634.2	0.238328	0.00404687	0
1	scaffold1_1093192	1093192	1.09319e+06	0.225	40147.7	0.05	31634.2	0.238328	0.00404687	0
1	scaffold1_1093424	1093424	1.09342e+06	0.1	30729.3	0.075	26035.1	0.16577	-0.165709	0
1	scaffold1_1093443	1093443	1.09344e+06	0.225	32021	0.05	27409.1	0.155518	-0.189694	0
1	scaffold1_1093464	1093464	1.09346e+06	0.5	22249.1	0.3	20587.6	0.0776109	-0.371965	0
1	scaffold1_1093489	1093489	1.09349e+06	0.5	22249.1	0.325	20077.2	0.102717	-0.313227	0
1	scaffold1_1093501	1093501	1.0935e+06	0.225	22246.2	0.05	20079.3	0.102482	-0.313777	0
1	scaffold1_1093506	1093506	1.09351e+06	0.5	24711	0.325	20754.1	0.174502	-0.14528	0
1	scaffold1_1150016	1150016	1.15002e+06	0.3	19205.8	0.475	16420.4	0.156685	-0.186964	0
1	scaffold1_1150027	1150027	1.15003e+06	0.3	19201.8	0.35	14987.3	0.247799	0.0262051	0
1	scaffold1_1721590	1721590	1.72159e+06	0.425	24186.8	0.35	21170.9	0.13318	-0.241956	0
1	scaffold1_1721837	1721837	1.72184e+06	0.275	30967.1	0.275	27240.9	0.128208	-0.253588	0
1	scaffold1_1794225	1794225	1.79422e+06	0.075	40146	0.05	38178.5	0.0502512	-0.435975	0
1	scaffold1_1794543	1794543	1.79454e+06	0.05	42443.9	0.075	39109.6	0.0818143	-0.362131	0
1	scaffold1_1916907	1916907	1.91691e+06	0.05	41718.8	0.2	32014.4	0.264765	0.0658985	0
1	scaffold1_1916925	1916925	1.91692e+06	0.175	31400.9	0.15	32419.3	-0.0319192	-0.62822	0
1	scaffold1_1916936	1916936	1.91694e+06	0.175	31400.9	0.15	32419.3	-0.0319192	-0.62822	0
1	scaffold1_1917220	1917220	1.91722e+06	0.325	21258.7	0.1	28342.1	-0.287584	-1.22637	0
1	scaffold1_1917284	1917284	1.91728e+06	0.175	26580.7	0.15	32495	-0.2009	-1.02357	0
1	scaffold1_1917553	1917553	1.91755e+06	0.175	34003.8	0.15	35858.9	-0.0531202	-0.677822	0
1	scaffold1_1917621	1917621	1.91762e+06	0.175	34003.8	0.15	35858.9	-0.0531202	-0.677822	0
1	scaffold1_1942593	1942593	1.94259e+06	0.075	41003.6	0.075	40800.9	0.00495687	-0.541945	0
1	scaffold1_1942594	1942594	1.94259e+06	0.075	41003.6	0.075	40800.9	0.00495687	-0.541945	0
1	scaffold1_1942613	1942613	1.94261e+06	0.275	35905.7	0.275	32903.8	0.0873066	-0.349281	0
1	scaffold1_1942648	1942648	1.94265e+06	0.275	35905.7	0.275	32903.8	0.0873066	-0.349281	0
1	scaffold1_1942657	1942657	1.94266e+06	0.325	35398.9	0.3	32332.4	0.0906094	-0.341554	0
1	scaffold1_1977626	1977626	1.97763e+06	0.15	43862.5	0.375	33743.7	0.262265	0.0600496	0
1	scaffold1_1977828	1977828	1.97783e+06	0.075	48126.5	0.1	46847.7	0.0269313	-0.490534	0
1	scaffold1_2004894	2004894	2.00489e+06	0.05	49643.7	0.075	50190.4	-0.0109516	-0.579164	0
1	scaffold1_2005158	2005158	2.00516e+06	0.125	42427.9	0.025	52856.9	-0.219782	-1.06774	0
1	scaffold1_2005174	2005174	2.00517e+06	0.125	41272.2	0.025	52856.9	-0.247401	-1.13236	0
1	scaffold1_2050143	2050143	2.05014e+06	0.175	35999.4	0.05	50455.3	-0.337585	-1.34335	0
1	scaffold1_2050169	2050169	2.05017e+06	0.175	35999.4	0.05	50455.3	-0.337585	-1.34335	0
1	scaffold1_2050175	2050175	2.05018e+06	0.225	32441.2	0.1	46233.1	-0.354267	-1.38238	0
1	scaffold1_2050185	2050185	2.05018e+06	0.225	32441.2	0.1	46233.1	-0.354267	-1.38238	0
1	scaffold1_2050391	2050391	2.05039e+06	0.05	37355.5	0.05	47801	-0.246565	-1.1304	0
1	scaffold1_2080748	2080748	2.08075e+06	0.3	24277	0.475	26558.1	-0.0898032	-0.763645	0
1	scaffold1_2080999	2080999	2.081e+06	0.275	22711.8	0.4	16834.9	0.299428	0.146996	0
1	scaffold1_2081036	2081036	2.08104e+06	0.075	19312.4	0.15	12769.6	0.41368	0.414298	0
1	scaffold1_2081044	2081044	2.08104e+06	0.25	12159.9	0.2	11176.8	0.0843031	-0.356308	0
1	scaffold1_2081059	2081059	2.08106e+06	0.275	11698.7	0.325	9333.67	0.225854	-0.0251371	0
1	scaffold1_2081061	2081061	2.08106e+06	0.075	10534.8	0.1	8908.67	0.167657	-0.161294	0
1	scaffold1_2081093	2081093	2.08109e+06	0.175	10983.3	0.075	9567.78	0.137973	-0.230742	0
1	scaffold1_2083697	2083697	2.0837e+06	0.275	8944.74	0.125	8166.28	0.0910516	-0.340519	0
1	scaffold1_2083882	2083882	2.08388e+06	0.125	8879.8	0.375	5852.18	0.416966	0.421986	0
1	scaffold1_2083930	2083930	2.08393e+06	0.025	10404.4	0.075	7191.36	0.369345	0.310573	0
1	scaffold1_2086878	2086878	2.08688e+06	0.275	7442.98	0.25	5519.88	0.298916	0.145798	0
1	scaffold1_2086938	2086938	2.08694e+06	0.1	9312.25	0.175	6612.68	0.342342	0.247397	0
1	scaffold1_2086962	2086962	2.08696e+06	0.475	9113.74	0.3	7391.03	0.209516	-0.0633613	0
1	scaffold1_2087156	2087156	2.08716e+06	0.475	12111.5	0.3	9074.78	0.288661	0.121805	0
1	scaffold1_2087158	2087158	2.08716e+06	0.325	18172.2	0.425	12850.6	0.3465	0.257125	0
1	scaffold1_2138198	2138198	2.1382e+06	0.25	24586.5	0.3	18981.2	0.258747	0.0518189	0
1	scaffold1_2138250	2138250	2.13825e+06	0.075	22735.9	0.275	15303	0.395899	0.372698	0
1	scaffold1_2138252	2138252	2.13825e+06	0.25	25436.9	0.3	22527.5	0.121465	-0.269364	0
1	scaffold1_2167785	2167785	2.16778e+06	0.575	24949.8	0.375	27081.7	-0.0819896	-0.745364	0
1	scaffold1_2212404	2212404	2.2124e+06	0.075	30989.5	0.05	37195	-0.182527	-0.98058	0
1	scaffold1_2212412	2212412	2.21241e+06	0.125	26176	0	37198.5	-0.351426	-1.37573	0
1	scaffold1_2212444	2212444	2.21244e+06	0.2	19629	0.125	32603.7	-0.507419	-1.74069	0
1	scaffold1_2212626	2212626	2.21263e+06	0.15	22066.5	0.05	36314.1	-0.498146	-1.719	0
1	scaffold1_2212627	2212627	2.21263e+06	0.125	23463.7	0	37260.7	-0.462487	-1.63557	0
1	scaffold1_2212652	2212652	2.21265e+06	0.175	24757.7	0.1	33998.2	-0.317172	-1.29559	0
1	scaffold1_2287543	2287543	2.28754e+06	0.125	23543.4	0.175	27894	-0.169566	-0.950257	0
1	scaffold1_2287562	2287562	2.28756e+06	0.2	17282.2	0.175	22837.4	-0.278724	-1.20564	0
1	scaffold1_2287565	2287565	2.28756e+06	0.2	17282.2	0.175	22837.4	-0.278724	-1.20564	0
1	scaffold1_2287587	2287587	2.28759e+06	0.175	13710.2	0.175	22185	-0.481278	-1.67953	0
1	scaffold1_2287592	2287592	2.28759e+06	0.4	10698.5	0.275	18784.7	-0.562935	-1.87058	0
1	scaffold1_2287612	2287612	2.28761e+06	0.1	11850.6	0.05	20272.7	-0.536893	-1.80965	0
1	scaffold1_2287769	2287769	2.28777e+06	0.2	15698.1	0.175	21933.8	-0.334493	-1.33612	0
1	scaffold1_2287775	2287775	2.28778e+06	0.1	20785.6	0	25523.8	-0.205351	-1.03398	0
1	scaffold1_2287783	2287783	2.28778e+06	0.1	21363.4	0	25523.8	-0.177932	-0.96983	0
1	scaffold1_2290175	2290175	2.29018e+06	0.15	22367.1	0.125	23997.6	-0.0703627	-0.718162	0
1	scaffold1_2290198	2290198	2.2902e+06	0.15	22367.1	0.15	23899.2	-0.0662551	-0.708552	0
1	scaffold1_2290208	2290208	2.29021e+06	0.175	21873.8	0.225	22717.8	-0.0378596	-0.642118	0
1	scaffold1_2290215	2290215	2.29022e+06	0.175	21873.8	0.225	22717.8	-0.0378596	-0.642118	0
1	scaffold1_2290377	2290377	2.29038e+06	0.125	23182.1	0.075	25266.6	-0.0861016	-0.754984	0
1	scaffold1_2290411	2290411	2.29041e+06	0.05	27677.2	0.075	28164.9	-0.0174677	-0.594409	0
1	scaffold1_2303555	2303555	2.30356e+06	0.375	24267.2	0.5	22511.2	0.0751142	-0.377806	0
1	scaffold1_2382684	2382684	2.38268e+06	0.4	21293.8	0.45	19696.3	0.0779848	-0.37109	0
1	scaffold1_2382886	2382886	2.38289e+06	0.275	27498.7	0.35	21566.5	0.243	0.0149774	0
1	scaffold1_2400328	2400328	2.40033e+06	0.25	27881	0.275	25236.3	0.0996625	-0.320373	0
1	scaffold1_2400354	2400354	2.40035e+06	0.1	32487	0.025	32083.2	0.0125064	-0.524282	0
1	scaffold1_2403561	2403561	2.40356e+06	0.125	31401.6	0.025	32083.2	-0.0214751	-0.603785	0
1	scaffold1_2438841	2438841	2.43884e+06	0.125	27479.7	0.375	20809.2	0.278053	0.096987	0
1	scaffold1_2438902	2438902	2.4389e+06	0.3	16474.3	0.125	17532.3	-0.0622447	-0.699169	0
1	scaffold1_2438905	2438905	2.4389e+06	0.225	13242	0.2	16672.8	-0.23039	-1.09256	0
1	scaffold1_2438911	2438911	2.43891e+06	0.175	10962.6	0.025	16616.5	-0.41591	-1.5266	0
1	scaffold1_2439163	2439163	2.43916e+06	0.2	13577.7	0.175	16594.1	-0.20062	-1.02291	0
1	scaffold1_2441772	2441772	2.44177e+06	0.125	16390.7	0.175	14486.6	0.123494	-0.264617	0
1	scaffold1_2446704	2446704	2.4467e+06	0.075	18953.4	0.3	15959.1	0.171952	-0.151246	0
1	scaffold1_2446714	2446714	2.44671e+06	0.2	16036.8	0.25	14226.3	0.119794	-0.273274	0
1	scaffold1_2446725	2446725	2.44672e+06	0.075	16075.1	0.275	13860	0.148266	-0.206661	0
1	scaffold1_2446753	2446753	2.44675e+06	0.075	17189.4	0.125	17901.6	-0.0405949	-0.648518	0
1	scaffold1_2446763	2446763	2.44676e+06	0.125	16103.9	0	18516	-0.139576	-0.880092	0
1	scaffold1_2446962	2446962	2.44696e+06	0.4	19774.2	0.45	16725.6	0.167441	-0.161799	0
1	scaffold1_2447001	2447001	2.447e+06	0.2	25334.1	0.25	22663.2	0.111407	-0.292896	0
1	scaffold1_2482443	2482443	2.48244e+06	0.175	31167.6	0.3	26911.8	0.146812	-0.210063	0
1	scaffold1_2595631	2595631	2.59563e+06	0.1	33867	0	37284.7	-0.0961417	-0.778474	0
1	scaffold1_2595647	2595647	2.59565e+06	0.1	33867	0	37284.7	-0.0961417	-0.778474	0
1	scaffold1_2595667	2595667	2.59567e+06	0.325	22943.2	0.425	24380.3	-0.0607563	-0.695687	0
1	scaffold1_2595670	2595670	2.59567e+06	0.1	23026	0	24491.1	-0.0616874	-0.697865	0
1	scaffold1_2595831	2595831	2.59583e+06	0.1	23026	0	24491.1	-0.0616874	-0.697865	0
1	scaffold1_2595881	2595881	2.59588e+06	0.1	22037.8	0	24491.1	-0.105549	-0.800483	0
1	scaffold1_2595884	2595884	2.59588e+06	0.1	22037.8	0	24491.1	-0.105549	-0.800483	0
1	scaffold1_2595895	2595895	2.5959e+06	0.325	22714.3	0.425	24382.5	-0.070872	-0.719353	0
1	scaffold1_2595899	2595899	2.5959e+06	0.1	33327.1	0	37682.5	-0.122824	-0.8409	0
1	scaffold1_2595905	2595905	2.5959e+06	0.1	33327.1	0	37682.5	-0.122824	-0.8409	0
1	scaffold1_2595916	2595916	2.59592e+06	0.1	33327.1	0	37682.5	-0.122824	-0.8409	0
1	scaffold1_2600177	2600177	2.60018e+06	0	36672.1	0.1	34573.6	0.0589263	-0.415679	0
1	scaffold1_2781392	2781392	2.78139e+06	0.15	30020.5	0	37676.4	-0.227153	-1.08499	0
1	scaffold1_2781395	2781395	2.7814e+06	0.25	19981.1	0.2	27099.6	-0.304733	-1.26649	0
1	scaffold1_2781429	2781429	2.78143e+06	0.2	13795	0.05	24521.7	-0.575254	-1.8994	0
1	scaffold1_2781445	2781445	2.78144e+06	0.125	15032.3	0.15	21903.3	-0.376435	-1.43424	0
1	scaffold1_2781616	2781616	2.78162e+06	0.25	15661	0.325	19574.9	-0.223078	-1.07545	0
1	scaffold1_2781637	2781637	2.78164e+06	0	23778	0.125	25925.9	-0.0864806	-0.755871	0
1	scaffold1_2781638	2781638	2.78164e+06	0.225	23060.1	0.275	27126.9	-0.16242	-0.933538	0
1	scaffold1_2781640	2781640	2.78164e+06	0.15	35120.7	0.025	41675.1	-0.171113	-0.953876	0
1	scaffold1_2781641	2781641	2.78164e+06	0.15	35120.7	0.025	41675.1	-0.171113	-0.953876	0
1	scaffold1_2814062	2814062	2.81406e+06	0.075	44099.4	0.025	42486.6	0.0372565	-0.466377	0
1	scaffold1_2814083	2814083	2.81408e+06	0.15	38903.9	0.175	34668.1	0.115275	-0.283846	0
1	scaffold1_2814124	2814124	2.81412e+06	0.05	41048.3	0.05	39898.4	0.0284123	-0.487069	0
1	scaffold1_2814128	2814128	2.81413e+06	0.075	45860	0.025	43435.4	0.0543198	-0.426456	0
1	scaffold1_2939756	2939756	2.93976e+06	0.075	45773.1	0.025	43435.4	0.0524228	-0.430895	0
1	scaffold1_2939761	2939761	2.93976e+06	0.175	38077.8	0.05	41279	-0.0807221	-0.742399	0
1	scaffold1_2939771	2939771	2.93977e+06	0.375	33317.5	0.35	27504.3	0.191742	-0.104945	0
1	scaffold1_2939778	2939778	2.93978e+06	0.3	33319.3	0.3	28091.8	0.170659	-0.154271	0
1	scaffold1_2939822	2939822	2.93982e+06	0.075	42323.2	0.025	35424.3	0.177937	-0.137243	0
1	scaffold1_2939839	2939839	2.93984e+06	0.075	42323.2	0.025	35424.3	0.177937	-0.137243	0
1	scaffold1_2939847	2939847	2.93985e+06	0.125	41988.5	0.05	35425.8	0.169957	-0.155913	0
1	scaffold1_2940034	2940034	2.94003e+06	0.1	39965.8	0.25	28046.8	0.35415	0.275023	0
1	scaffold1_2940048	2940048	2.94005e+06	0.175	50468.5	0.05	42744	0.16612	-0.16489	0
