pos	gpos	p1	ihh1	p2	ihh2	xpehh	normxpehh	crit
scaffold100_650550	650550	650550	0.2	22380.9	0.075	18516.8	0.189529	-0.110123	0
scaffold100_650798	650798	650798	0.2	22380.9	0.075	18516.8	0.189529	-0.110123	0
scaffold100_650809	650809	650809	0.275	22332.6	0.15	18191.9	0.205068	-0.0737678	0
scaffold100_654541	654541	654541	0.15	27469.6	0.125	20697.6	0.283063	0.108708	0
scaffold100_665915	665915	665915	0.225	27945.2	0.5	16437.8	0.530661	0.687985	0
scaffold100_665925	665925	665925	0.025	34340.2	0.125	20343.9	0.523537	0.671318	0
scaffold100_703584	703584	703584	0.9	32546.9	0.35	16399.6	0.685422	1.05006	0
scaffold100_703612	703612	703612	0	32565.5	0.1	14141.8	0.834118	1.39795	0
scaffold100_703643	703643	703643	0.075	30955	0.425	11465	0.993237	1.77022	0
scaffold100_703808	703808	703808	0.9	27824.9	0.35	11784.5	0.859151	1.45652	0
scaffold100_703809	703809	703809	0.9	27824.9	0.35	11784.5	0.859151	1.45652	0
scaffold100_703810	703810	703810	0.2	22176.2	0.05	14507.3	0.424369	0.439306	0
scaffold100_703823	703823	703823	0.9	27224.8	0.35	15057.7	0.592238	0.83205	0
scaffold100_769002	769002	769002	0.6	18537.9	0.35	15745.9	0.163237	-0.171635	0
scaffold100_769020	769020	769020	0	18774.3	0.25	15148.1	0.214612	-0.0514388	0
scaffold100_769070	769070	769070	0.275	13919.3	0.275	15967.3	-0.137266	-0.874688	0
scaffold100_769234	769234	769234	0.7	14684.7	0.375	16289	-0.103683	-0.796118	0
scaffold100_770822	770822	770822	0.525	14203.9	0.325	17063.5	-0.183424	-0.982679	0
scaffold100_771069	771069	771069	0.025	19798.8	0.125	21079.2	-0.062662	-0.700145	0
scaffold100_771082	771082	771082	0.075	19675	0.025	25660.7	-0.26561	-1.17496	0
scaffold100_771086	771086	771086	0.075	20735	0.05	25664.2	-0.213273	-1.05251	0
scaffold100_828639	828639	828639	0.25	15521.2	0.1	23164.9	-0.400436	-1.4904	0
scaffold100_828642	828642	828642	0.25	15521.2	0.1	23164.9	-0.400436	-1.4904	0
scaffold100_828644	828644	828644	0.25	15521.2	0.1	23164.9	-0.400436	-1.4904	0
scaffold100_828646	828646	828646	0.25	15521.2	0.1	23164.9	-0.400436	-1.4904	0
scaffold100_828654	828654	828654	0.175	15034.9	0.075	23187.7	-0.43325	-1.56717	0
scaffold100_828658	828658	828658	0.2	10712.6	0.375	13869	-0.258234	-1.1577	0
scaffold100_828673	828673	828673	0.25	10520.1	0.1	16479.8	-0.448848	-1.60366	0
scaffold100_828689	828689	828689	0.25	10520.1	0.1	16479.8	-0.448848	-1.60366	0
scaffold100_828882	828882	828882	0.325	7912.35	0.425	12789.9	-0.480227	-1.67708	0
scaffold100_828906	828906	828906	0.475	8027.13	0.5	12803.1	-0.466862	-1.64581	0
scaffold100_828913	828913	828913	0.475	8027.13	0.5	12803.1	-0.466862	-1.64581	0
scaffold100_828917	828917	828917	0.2	7915.97	0.375	12791.4	-0.479893	-1.67629	0
scaffold100_828953	828953	828953	0.475	8740.73	0.475	12941.1	-0.392418	-1.47164	0
scaffold100_831172	831172	831172	0.325	9927.57	0.475	13568.8	-0.312458	-1.28456	0
scaffold100_831177	831177	831177	0.325	9927.57	0.475	13568.8	-0.312458	-1.28456	0
scaffold100_831185	831185	831185	0.45	9689.28	0.475	13568.8	-0.336753	-1.34141	0
scaffold100_831380	831380	831380	0.325	11156.3	0.475	13568.8	-0.195768	-1.01156	0
scaffold100_837648	837648	837648	0.5	11389.7	0.45	13461.5	-0.167124	-0.944543	0
scaffold100_837850	837850	837850	0.075	14351	0.1	12656.1	0.125683	-0.259496	0
scaffold100_837858	837858	837858	0	16278.7	0.225	12219.1	0.286857	0.117585	0
scaffold100_837863	837863	837863	0.325	15769.4	0.375	13313.6	0.169284	-0.157488	0
scaffold100_851106	851106	851106	0.025	21503.8	0.25	15424.2	0.332292	0.223884	0
scaffold100_851148	851148	851148	0.175	17625.1	0.125	11240.2	0.449831	0.498877	0
scaffold100_851164	851164	851164	0.075	17522.1	0.375	10539.2	0.508358	0.635806	0
scaffold100_851169	851169	851169	0.075	17522.1	0.375	10539.2	0.508358	0.635806	0
scaffold100_851360	851360	851360	0.125	18977.5	0.075	16689.9	0.128448	-0.253027	0
scaffold100_851369	851369	851369	0.05	23118.4	0.125	20359.4	0.127088	-0.256209	0
scaffold100_851454	851454	851454	0.025	23792	0.075	21537.3	0.099565	-0.320601	0
scaffold100_912369	912369	912369	0.4	15593.6	0.225	17938.6	-0.140098	-0.881314	0
scaffold100_912406	912406	912406	0.4	15593.6	0.225	17938.6	-0.140098	-0.881314	0
scaffold100_912412	912412	912412	0.4	15593.6	0.225	17938.6	-0.140098	-0.881314	0
scaffold100_912417	912417	912417	0.425	9284.23	0.15	13563.4	-0.379059	-1.44038	0
scaffold100_912420	912420	912420	0.8	7777.36	0.5	8844.42	-0.12857	-0.854343	0
scaffold100_912430	912430	912430	0.375	7781.33	0.25	9467.41	-0.196128	-1.0124	0
scaffold100_912438	912438	912438	0.2	6851.18	0.1	9346.34	-0.310563	-1.28013	0
scaffold100_912447	912447	912447	0.075	7647.92	0.025	12736.5	-0.510041	-1.74683	0
scaffold100_912636	912636	912636	0.35	8991.86	0.15	13292.2	-0.390854	-1.46798	0
scaffold100_912642	912642	912642	0.125	11637.6	0.15	11790.1	-0.0130159	-0.583994	0
scaffold100_912643	912643	912643	0.175	12089.7	0.45	13640.6	-0.120704	-0.83594	0
scaffold100_912649	912649	912649	0.825	14971.8	0.475	21205.8	-0.348108	-1.36797	0
scaffold100_912658	912658	912658	0	18893.6	0.1	27810.6	-0.386593	-1.45801	0
scaffold100_912708	912708	912708	0.2	18759.1	0.025	35543.9	-0.63909	-2.04875	1
scaffold100_912709	912709	912709	0.4	27457.2	0.25	38156.5	-0.329067	-1.32342	0
scaffold100_1007993	1007993	1.00799e+06	0	48580.2	0.1	56653.7	-0.153741	-0.913233	0
scaffold100_1007995	1007995	1.008e+06	0	48580.2	0.1	56653.7	-0.153741	-0.913233	0
scaffold100_1008051	1008051	1.00805e+06	0	48580.2	0.1	56653.7	-0.153741	-0.913233	0
scaffold100_1008071	1008071	1.00807e+06	0	48580.2	0.15	55118.1	-0.126263	-0.848945	0
scaffold100_1008086	1008086	1.00809e+06	0	48580.2	0.1	55129.1	-0.126462	-0.849411	0
scaffold100_1008327	1008327	1.00833e+06	0	48580.2	0.15	55337.8	-0.130241	-0.858252	0
scaffold100_1039496	1039496	1.0395e+06	0.2	39126.7	0.1	58997.7	-0.410693	-1.51439	0
scaffold100_1039497	1039497	1.0395e+06	0.2	39126.7	0.1	58997.7	-0.410693	-1.51439	0
scaffold100_1040375	1040375	1.04038e+06	0.15	39175.8	0.025	59903.2	-0.424669	-1.54709	0
scaffold100_1040390	1040390	1.04039e+06	0.2	42244.6	0.1	60570.6	-0.360334	-1.39657	0
scaffold100_1054596	1054596	1.0546e+06	0.2	42244.6	0.1	60570.6	-0.360334	-1.39657	0
scaffold100_1054615	1054615	1.05462e+06	0.2	42244.6	0.1	60570.6	-0.360334	-1.39657	0
scaffold100_1160714	1160714	1.16071e+06	0.025	46359.7	0.075	57575.6	-0.216667	-1.06045	0
scaffold100_1160987	1160987	1.16099e+06	0.425	29665.5	0.125	51302.6	-0.547757	-1.83507	0
scaffold100_1168220	1168220	1.16822e+06	0.45	27308.9	0.175	46391.1	-0.529897	-1.79328	0
scaffold100_1168238	1168238	1.16824e+06	0	35048.1	0.1	42539.9	-0.193721	-1.00677	0
scaffold100_1168447	1168447	1.16845e+06	0	35048.1	0.1	37832.3	-0.0764406	-0.732382	0
scaffold100_1168462	1168462	1.16846e+06	0.225	28874.9	0	39962.7	-0.324975	-1.31385	0
scaffold100_1168464	1168464	1.16846e+06	0	38807.9	0.1	39967.7	-0.0294463	-0.622434	0
scaffold100_1183738	1183738	1.18374e+06	0	39592.5	0.3	29265.7	0.302225	0.153539	0
scaffold100_1190694	1190694	1.19069e+06	0.275	30249.3	0.125	32719.4	-0.0784933	-0.737184	0
scaffold100_1201644	1201644	1.20164e+06	0.125	28463.9	0.1	31034.9	-0.0864773	-0.755863	0
scaffold100_1201691	1201691	1.20169e+06	0.075	24043.6	0.05	28719.1	-0.177694	-0.969273	0
scaffold100_1201844	1201844	1.20184e+06	0.375	14607.5	0.45	15236.8	-0.0421822	-0.652231	0
scaffold100_1201917	1201917	1.20192e+06	0.075	19055.8	0.075	18107.1	0.0510713	-0.434056	0
scaffold100_1201918	1201918	1.20192e+06	0.275	17116	0.1	17057.3	0.00343686	-0.545501	0
scaffold100_1205767	1205767	1.20577e+06	0.1	21163.7	0	18780.1	0.119489	-0.273987	0
scaffold100_1205779	1205779	1.20578e+06	0.125	19697.5	0	18779.1	0.0477425	-0.441844	0
scaffold100_1205970	1205970	1.20597e+06	0.125	22791.9	0.125	17886	0.242387	0.0135433	0
scaffold100_1206009	1206009	1.20601e+06	0.025	26290.8	0.25	18303	0.362156	0.293753	0
scaffold100_1221735	1221735	1.22174e+06	0.125	24062.5	0.05	21368.8	0.118725	-0.275775	0
scaffold100_1221742	1221742	1.22174e+06	0.125	24062.5	0.025	21365.3	0.118889	-0.275391	0
scaffold100_1221745	1221745	1.22174e+06	0.1	21384.8	0.05	19987.9	0.0675532	-0.395496	0
scaffold100_1221754	1221754	1.22175e+06	0.1	21384.8	0.05	19987.9	0.0675532	-0.395496	0
scaffold100_1221766	1221766	1.22177e+06	0.025	20790.2	0.1	17764.6	0.157273	-0.185588	0
scaffold100_1221779	1221779	1.22178e+06	0.1	20820.1	0.05	17914.9	0.150289	-0.201928	0
scaffold100_1221800	1221800	1.2218e+06	0.1	20820.1	0.05	17914.9	0.150289	-0.201928	0
scaffold100_1221813	1221813	1.22181e+06	0.1	20820.1	0.05	17914.9	0.150289	-0.201928	0
scaffold100_1221979	1221979	1.22198e+06	0.225	20724.6	0.175	17865.8	0.148434	-0.206268	0
scaffold100_1221990	1221990	1.22199e+06	0.1	20724.1	0.05	17866.6	0.148366	-0.206427	0
scaffold100_1222020	1222020	1.22202e+06	0.15	22881.2	0.15	18621.4	0.206001	-0.071585	0
scaffold100_1222036	1222036	1.22204e+06	0	25893.9	0.375	12778.5	0.706242	1.09877	0
scaffold100_1222050	1222050	1.22205e+06	0.15	23934.1	0.15	19061.4	0.22764	-0.0209586	0
scaffold100_1222051	1222051	1.22205e+06	0.15	23934.1	0.15	19061.4	0.22764	-0.0209586	0
scaffold100_1271803	1271803	1.2718e+06	0	26552.9	0.1	18788.8	0.345878	0.255669	0
scaffold100_1271805	1271805	1.2718e+06	0.45	12609.3	0.325	9691.68	0.263169	0.0621646	0
scaffold100_1271832	1271832	1.27183e+06	0.175	9489.66	0.125	8012.15	0.169243	-0.157583	0
scaffold101_513353	513353	513353	0.4	23206.8	0.075	31499.9	-0.305536	-1.26837	0
scaffold101_513361	513361	513361	0.675	19672.2	0.4	24240.8	-0.208833	-1.04213	0
scaffold101_513371	513371	513371	0.65	19078.9	0.4	24240.8	-0.239456	-1.11377	0
scaffold101_513386	513386	513386	0.05	19746.7	0.05	24208.1	-0.203705	-1.03013	0
scaffold101_513469	513469	513469	0.675	19734.4	0.4	24191.7	-0.203647	-1.02999	0
scaffold101_513647	513647	513647	0.05	29607.4	0.05	35765.3	-0.188953	-0.995614	0
scaffold101_563157	563157	563157	0.425	21384.2	0.175	32135.8	-0.40732	-1.5065	0
scaffold101_563196	563196	563196	0.425	21384.2	0.175	32135.8	-0.40732	-1.5065	0
scaffold101_661282	661282	661282	0.225	18556.6	0.2	25006.7	-0.298317	-1.25148	0
scaffold101_661284	661284	661284	0.075	14656.9	0.05	21059.9	-0.362457	-1.40154	0
scaffold101_661285	661285	661285	0.225	10646.4	0.225	16132.2	-0.415597	-1.52587	0
scaffold101_661290	661290	661290	0.1	6911.76	0.15	8958.56	-0.259385	-1.1604	0
scaffold101_661321	661321	661321	0.35	3771.57	0.225	5709.42	-0.414627	-1.5236	0
scaffold101_661323	661323	661323	0.1	3786.41	0.15	5716.68	-0.411969	-1.51738	0
scaffold101_661326	661326	661326	0.075	3491.74	0.3	3179.14	0.0937895	-0.334114	0
scaffold101_661330	661330	661330	0.5	1213.9	0.475	1119.26	0.0811741	-0.363628	0
scaffold101_661332	661332	661332	0.1	1250.14	0.15	931.983	0.293694	0.13358	0
scaffold101_661371	661371	661371	0.05	1165.36	0.125	703.559	0.504633	0.627091	0
scaffold101_661375	661375	661375	0.4	72.9538	0.05	100.457	-0.319903	-1.30198	0
scaffold101_661461	661461	661461	0.175	82.2218	0.45	71.1449	0.144702	-0.214999	0
scaffold101_661470	661470	661470	0.35	1290.14	0.225	840.907	0.428024	0.447857	0
scaffold101_661480	661480	661480	0.575	1615.55	0.5	1069.42	0.412556	0.411668	0
scaffold101_661499	661499	661499	0.2	1648.06	0.1	1419.64	0.149196	-0.204485	0
scaffold101_661500	661500	661500	0.45	2077.77	0.425	1455.28	0.356095	0.279573	0
scaffold101_661504	661504	661504	0.1	6057.63	0.325	2594.85	0.847792	1.42994	0
scaffold101_661537	661537	661537	0.1	9000.68	0.15	5174.7	0.553519	0.741464	0
scaffold101_661546	661546	661546	0.4	10716	0.35	6813.22	0.452869	0.505984	0
scaffold101_661551	661551	661551	0.525	16113.9	0.5	9801.26	0.497173	0.609637	0
scaffold101_791953	791953	791953	0.625	20678.1	0.475	12575	0.497362	0.610079	0
scaffold101_791969	791969	791969	0.65	17624.8	0.5	10146.3	0.552204	0.738387	0
scaffold101_791973	791973	791973	0.65	17624.8	0.5	10146.3	0.552204	0.738387	0
scaffold101_791977	791977	791977	0.65	17624.8	0.5	10146.3	0.552204	0.738387	0
scaffold101_791980	791980	791980	0.65	17624.8	0.5	10146.3	0.552204	0.738387	0
scaffold101_791991	791991	791991	0.625	24053.8	0.35	12929.5	0.620782	0.898831	0
scaffold101_792019	792019	792019	0.625	24053.8	0.5	16142.8	0.398818	0.379527	0
scaffold101_792229	792229	792229	0.325	23940.3	0.275	15408.4	0.440654	0.477406	0
scaffold101_792235	792235	792235	0.05	23934.9	0.275	17536.8	0.311036	0.174154	0
scaffold101_792236	792236	792236	0.625	23934	0.45	17532.3	0.311256	0.174668	0
scaffold101_792269	792269	792269	0.05	41807.5	0.275	31923.2	0.269743	0.077545	0
scaffold101_858311	858311	858311	0.1	41597.3	0.025	47718.1	-0.137275	-0.874709	0
scaffold101_858345	858345	858345	0.1	41597.3	0.025	47718.1	-0.137275	-0.874709	0
scaffold101_858536	858536	858536	0.1	41597.3	0.05	46964.6	-0.121359	-0.837472	0
scaffold101_858551	858551	858551	0.1	41597.3	0.025	48817.4	-0.160052	-0.927998	0
scaffold101_977656	977656	977656	0.275	32424.1	0.025	48904.6	-0.41097	-1.51504	0
scaffold101_977935	977935	977935	0.35	27942.7	0.2	37990.7	-0.307188	-1.27224	0
scaffold101_999939	999939	999939	0.6	27823.1	0.4	28721.3	-0.0317708	-0.627873	0
scaffold101_1000132	1000132	1.00013e+06	0.6	27823.1	0.4	28721.3	-0.0317708	-0.627873	0
scaffold101_1000173	1000173	1.00017e+06	0.25	33423.6	0.2	31291.9	0.0659055	-0.399351	0
scaffold101_1008734	1008734	1.00873e+06	0	46400.1	0.15	35489.2	0.268074	0.0736402	0
scaffold101_1022197	1022197	1.0222e+06	0.05	43560.3	0.1	36944.8	0.16472	-0.168165	0
scaffold101_1022263	1022263	1.02226e+06	0.175	36288.8	0.025	38878.6	-0.0689334	-0.714818	0
scaffold101_1022571	1022571	1.02257e+06	0.175	36288.8	0.025	38878.6	-0.0689334	-0.714818	0
scaffold101_1041080	1041080	1.04108e+06	0.6	29318.2	0.475	24273.9	0.18881	-0.111805	0
scaffold101_1041082	1041082	1.04108e+06	0.3	30023.6	0.425	22103.2	0.306263	0.162987	0
scaffold101_1041151	1041151	1.04115e+06	0.05	33557.6	0.1	27577.1	0.196279	-0.0943304	0
scaffold101_1041367	1041367	1.04137e+06	0.625	25635.6	0.225	24634.7	0.0398259	-0.460366	0
scaffold101_1041379	1041379	1.04138e+06	0.675	27060	0.45	28742	-0.0603031	-0.694627	0
scaffold101_1041401	1041401	1.0414e+06	0.675	27060	0.45	28742	-0.0603031	-0.694627	0
scaffold101_1053077	1053077	1.05308e+06	0.175	34861.6	0.025	48174	-0.323434	-1.31024	0
scaffold101_1053105	1053105	1.0531e+06	0.175	34861.6	0.025	48174	-0.323434	-1.31024	0
scaffold101_1078915	1078915	1.07892e+06	0.3	32310.3	0.05	47469.5	-0.384701	-1.45358	0
scaffold101_1079178	1079178	1.07918e+06	0.075	43934.4	0.125	43068.4	0.0199092	-0.506963	0
scaffold101_1079188	1079188	1.07919e+06	0.1	46608.4	0.15	43501.6	0.0689834	-0.39215	0
scaffold101_1101688	1101688	1.10169e+06	0.075	47984.7	0.05	47265.8	0.0150947	-0.518227	0
scaffold101_1132907	1132907	1.13291e+06	0.15	43668	0.025	47681.7	-0.087932	-0.759267	0
scaffold101_1132930	1132930	1.13293e+06	0	47889.1	0.15	37648	0.240608	0.00938113	0
scaffold101_1132950	1132950	1.13295e+06	0	47889	0.15	27642.2	0.549542	0.732159	0
scaffold101_1132952	1132952	1.13295e+06	0.05	43954	0.425	19759.2	0.799526	1.31702	0
scaffold101_1134387	1134387	1.13439e+06	0	45471.5	0.15	15240.9	1.0931	2.00386	1
scaffold101_1134407	1134407	1.13441e+06	0	45471.5	0.15	15240.9	1.0931	2.00386	1
scaffold101_1134460	1134460	1.13446e+06	0	45471.5	0.1	15983.2	1.04555	1.89261	0
scaffold101_1134621	1134621	1.13462e+06	0.15	38014.5	0.475	11522.1	1.1937	2.23922	1
scaffold101_1134660	1134660	1.13466e+06	0	42689.8	0.1	15076.5	1.04082	1.88155	0
scaffold101_1134679	1134679	1.13468e+06	0	42689.8	0.125	17256.9	0.905746	1.56553	0
scaffold101_1148738	1148738	1.14874e+06	0.35	27293.2	0.25	14399.1	0.639472	0.942558	0
scaffold101_1148930	1148930	1.14893e+06	0.45	21893.6	0.4	9734.57	0.81051	1.34272	0
scaffold101_1148978	1148978	1.14898e+06	0.375	22556.3	0.35	10077.9	0.805676	1.33141	0
scaffold101_1148985	1148985	1.14898e+06	0.375	22556.3	0.325	10524.3	0.762332	1.23	0
scaffold101_1158985	1158985	1.15898e+06	0.5	21557.6	0.275	12481.8	0.546457	0.724941	0
scaffold101_1159057	1159057	1.15906e+06	0.5	21557.6	0.275	12481.8	0.546457	0.724941	0
scaffold101_1159272	1159272	1.15927e+06	0	21615.5	0.275	9555.14	0.816332	1.35634	0
scaffold101_1159283	1159283	1.15928e+06	0.5	21557.6	0.275	9529.82	0.816301	1.35626	0
scaffold101_1159291	1159291	1.15929e+06	0.5	21509.7	0.275	11086.5	0.66278	0.997089	0
scaffold101_1159292	1159292	1.15929e+06	0.5	21659.7	0.45	14813	0.379949	0.335382	0
scaffold101_1181551	1181551	1.18155e+06	0.15	17342.6	0.1	18927.7	-0.0874578	-0.758157	0
scaffold101_1181554	1181554	1.18155e+06	0.15	17342.6	0.1	18927.7	-0.0874578	-0.758157	0
scaffold101_1181571	1181571	1.18157e+06	0.15	14502.7	0.1	17240.3	-0.172918	-0.958099	0
scaffold101_1181606	1181606	1.18161e+06	0.7	9540	0.375	13105.7	-0.317552	-1.29648	0
scaffold101_1181610	1181610	1.18161e+06	0.55	9870.7	0.3	13662.2	-0.325063	-1.31406	0
scaffold101_1181629	1181629	1.18163e+06	0.75	10128.6	0.375	12449.4	-0.206313	-1.03623	0
scaffold101_1182772	1182772	1.18277e+06	0.2	6627.97	0.05	11844.7	-0.580581	-1.91186	0
scaffold101_1182944	1182944	1.18294e+06	0.25	6073.15	0.225	11433.3	-0.632655	-2.03369	1
scaffold101_1182962	1182962	1.18296e+06	0.475	5630.8	0.175	11235.9	-0.690863	-2.16988	1
scaffold101_1183000	1183000	1.183e+06	0.75	5758.89	0.375	11243.2	-0.669018	-2.11877	1
scaffold101_1183009	1183009	1.18301e+06	0.7	5480.84	0.175	11188.3	-0.713609	-2.22309	1
scaffold101_1183012	1183012	1.18301e+06	0.75	5400.06	0.325	10523.1	-0.667166	-2.11444	1
scaffold101_1184232	1184232	1.18423e+06	0.475	5714.89	0.175	12628.1	-0.792848	-2.40848	1
scaffold101_1184239	1184239	1.18424e+06	0.2	5609.43	0	12631.5	-0.811744	-2.45269	1
scaffold101_1184255	1184255	1.18426e+06	0.475	7210.23	0.175	13460.7	-0.624276	-2.01409	1
scaffold101_1184278	1184278	1.18428e+06	0.55	7726.27	0.375	14255.5	-0.612519	-1.98658	0
scaffold101_1184305	1184305	1.1843e+06	0.275	10791.1	0.1	21209.1	-0.675713	-2.13443	1
scaffold101_1184307	1184307	1.18431e+06	0.275	10791.1	0.1	21209.1	-0.675713	-2.13443	1
scaffold101_1195612	1195612	1.19561e+06	0.125	13616	0	24092.7	-0.570666	-1.88866	0
scaffold101_1195678	1195678	1.19568e+06	0.1	13574	0	24092.7	-0.573755	-1.89589	0
scaffold101_1195683	1195683	1.19568e+06	0.1	13392.2	0	24092	-0.587205	-1.92736	0
scaffold101_1202563	1202563	1.20256e+06	0.15	12616.7	0.15	19406.9	-0.430603	-1.56098	0
scaffold101_1202572	1202572	1.20257e+06	0.15	12616.7	0.15	19406.9	-0.430603	-1.56098	0
scaffold101_1202635	1202635	1.20264e+06	0.125	12198.1	0.175	14270.2	-0.156899	-0.920621	0
scaffold101_1202639	1202639	1.20264e+06	0.125	12198.1	0.175	14270.2	-0.156899	-0.920621	0
scaffold101_1202766	1202766	1.20277e+06	0.175	11898.4	0.175	14993.1	-0.231189	-1.09443	0
scaffold101_1206684	1206684	1.20668e+06	0.175	9719.59	0.05	14766.9	-0.418244	-1.53206	0
scaffold101_1206692	1206692	1.20669e+06	0.225	6125.9	0.425	8157.49	-0.28641	-1.22362	0
scaffold101_1206709	1206709	1.20671e+06	0.175	7436.91	0.05	10283	-0.324034	-1.31165	0
scaffold101_1206733	1206733	1.20673e+06	0.4	6362.04	0.225	9067.41	-0.354338	-1.38255	0
scaffold101_1206947	1206947	1.20695e+06	0.2	6742.97	0.1	9711.17	-0.364776	-1.40697	0
scaffold101_1206948	1206948	1.20695e+06	0.2	6742.97	0.1	9711.17	-0.364776	-1.40697	0
scaffold101_1206965	1206965	1.20696e+06	0.2	7039	0.1	10402.8	-0.390609	-1.46741	0
scaffold101_1206977	1206977	1.20698e+06	0.2	7039	0.1	10402.8	-0.390609	-1.46741	0
scaffold101_1207684	1207684	1.20768e+06	0.15	7674.8	0.05	11199.1	-0.377893	-1.43766	0
scaffold101_1207891	1207891	1.20789e+06	0.225	7729.29	0.025	11441.2	-0.392199	-1.47113	0
scaffold101_1215960	1215960	1.21596e+06	0.45	6270.49	0.25	9331.54	-0.397547	-1.48364	0
scaffold101_1215984	1215984	1.21598e+06	0.025	6118.91	0.075	9124.89	-0.399622	-1.48849	0
scaffold101_1216029	1216029	1.21603e+06	0.225	5531.97	0.15	9006.33	-0.487383	-1.69382	0
scaffold102_1094	1094	1094	0.575	29333.8	0.425	36635.9	-0.22229	-1.07361	0
scaffold102_1111	1111	1111	0.175	36338.2	0.225	41362.3	-0.129498	-0.856514	0
scaffold102_1133	1133	1133	0.15	38173.1	0.225	41362.3	-0.0802379	-0.741266	0
scaffold102_138071	138071	138071	0.125	38545.7	0.15	42324.7	-0.0935272	-0.772357	0
scaffold102_138087	138087	138087	0.575	30978.7	0.45	36396.3	-0.161166	-0.930604	0
scaffold102_138088	138088	138088	0.35	29721.5	0.175	35930.6	-0.189717	-0.997402	0
scaffold102_138119	138119	138119	0.575	29752.5	0.425	35878.7	-0.18723	-0.991583	0
scaffold102_138297	138297	138297	0.025	30551.9	0.075	36886.1	-0.188407	-0.994337	0
